Time,Vsa,Isa,Pmax,Psa,Psaold,Dp
120,25.45553653,0.213038692,5.42596408,5.423014207,1.155311853,4.267702353
121,26.43264798,0.200551447,5.418725465,5.3011058,1.063144439,4.237961361
122,25.45384594,0.212301455,5.411482357,5.403888528,1.147253397,4.256635131
123,24.46426107,0.21823648,5.397028022,5.338994222,1.165163306,4.173830916
124,25.45214935,0.211563115,5.389813042,5.384736,1.139211522,4.245524478
125,26.4295886,0.199266349,5.382604788,5.266527626,1.049441732,4.217085894
126,25.45045117,0.2108237,5.368208528,5.365558282,1.13118685,4.234371433
127,24.46067523,0.216636931,5.361010921,5.299085612,1.147977644,4.151107968
128,25.44875142,0.210083208,5.353820104,5.346355338,1.12317948,4.223175857
129,26.42651922,0.197975208,5.339458912,5.231795639,1.03576583,4.196029809
130,25.44705008,0.209341646,5.33227892,5.32712735,1.115189608,4.211937742
131,24.45708612,0.215034998,5.317939517,5.259129465,1.130896894,4.128232571
132,25.44534721,0.208599026,5.310780142,5.307874644,1.107217481,4.200657163
133,26.42343993,0.196678066,5.303618006,5.196911062,1.022118417,4.174792646
134,25.44364276,0.207855361,5.289314505,5.288597551,1.099263353,4.189334198
135,24.45349382,0.213430745,5.282173175,5.219127404,1.11392225,4.105205154
136,25.44193681,0.207110645,5.275029132,5.269295943,1.091327281,4.177968661
137,26.42035081,0.195374948,5.260762005,5.161874666,1.008500994,4.153373671
138,25.44022928,0.206364884,5.253629261,5.249969964,1.083409443,4.166560522
139,24.44989834,0.211824204,5.246503542,5.179080254,1.097054552,4.082025702
140,25.43852033,0.2056181,5.232300537,5.230620217,1.075510191,4.155110026
141,26.41725194,0.194065905,5.225202424,5.126687905,0.994915328,4.131772577
142,25.43680975,0.204870293,5.218111301,5.211246666,1.067629631,4.143617035
143,24.44629971,0.210215426,5.203950091,5.138989308,1.080294827,4.058694481
144,25.43509786,0.204121463,5.196870339,5.191849387,1.059767892,4.132081494
145,26.4141434,0.192750957,5.182732003,5.091351419,0.981362858,4.10998856
146,25.43338424,0.203371627,5.175673454,5.172428733,1.051925247,4.120503486
147,24.44269793,0.208604447,5.168612292,5.098855485,1.063643929,4.035211556
148,25.43166949,0.202620786,5.154511318,5.152984861,1.044101843,4.108883019
149,26.41102529,0.191430154,5.147461815,5.055866639,0.967845329,4.088021309
150,25.42995284,0.201868957,5.140419466,5.133518056,1.036297936,4.097220121
151,24.43909298,0.206991309,5.126356297,5.058679847,1.047102763,4.011577083
152,25.42823532,0.20111613,5.119325771,5.11402828,1.028513576,4.085514704
153,26.40789767,0.19010352,5.105286376,5.020234303,0.954364212,4.065870091
154,25.42651561,0.200362326,5.09826779,5.09451581,1.020749037,4.073766772
155,24.43548479,0.205376057,5.091256459,5.018463517,1.030672249,3.987791268
156,25.42479548,0.199607541,5.077265883,5.074980906,1.013004459,4.061976447
157,26.40476064,0.188771114,5.07028172,4.984456081,0.940921327,4.043534754
158,25.42307264,0.198851797,5.056335076,5.05542368,1.005280083,4.050143596
159,24.43187324,0.203758741,5.049362873,4.978207732,1.01435334,3.963854392
160,25.42135008,0.198095083,5.042397935,5.035844454,0.997576025,4.038268429
161,26.40161429,0.18743296,5.028489913,4.948532715,0.927518134,4.021014581
162,25.41962398,0.197337428,5.021537095,5.016243217,0.989892535,4.026350682
163,24.42825813,0.202139383,5.007653438,4.937913026,0.998146692,3.939766334
164,25.41789925,0.196578803,5.000712853,4.996620209,0.98222962,4.01439059
165,26.3984587,0.18608911,4.993779631,4.912465685,0.914156367,3.998309318
166,25.4161697,0.195819275,4.979935335,4.976975924,0.974587817,4.002388107
167,24.42463922,0.200518041,4.973014502,4.897580809,0.982053309,3.915527499
168,25.41444313,0.195058774,4.959195106,4.957310119,0.966966834,3.990343285
169,26.39529396,0.184739594,4.952286773,4.87625589,0.900837533,3.975418356
170,25.41270982,0.194297385,4.938492497,4.937623064,0.959367249,3.978255814
171,24.42101617,0.198894739,4.931606584,4.857211637,0.966073841,3.891137796
172,25.41098188,0.193535033,4.924718362,4.917915217,0.951788884,3.966126333
173,26.39212014,0.183384479,4.91097155,4.839905202,0.887563494,3.952341708
