Time,Vsa,Isa,Pmax,Psa,Psaold,dP
26911.00001,15.42144549,1.113892838,17.17778439,17.17783767,19.134211,-1.956373325
26912.00001,14.52801873,1.17839287,17.17958393,17.11971368,20.24429921,-3.124585528
26913.00001,15.4219587,1.11408197,17.18098929,17.18132613,19.14103039,-1.959704265
26914.00001,16.31368995,1.0498831,17.1827039,17.12746737,18.03983043,-0.912363061
26915.00001,15.42244429,1.114259319,17.18437116,17.18460228,19.14784571,-1.963243437
26916.00001,14.52906425,1.178779657,17.18599095,17.12656538,20.25849651,-3.131931137
26917.00001,15.42290214,1.114425224,17.18756315,17.18767117,19.15425392,-1.966582747
26918.00001,16.31453518,1.05018481,17.1890891,17.13327703,18.05172028,-0.918443248
26919.00001,15.42333369,1.114579904,17.1902751,17.19053778,19.15993517,-1.969397388
26920.00001,14.52999875,1.179119565,17.19171477,17.13260581,20.27108723,-3.138481427
26921.00001,15.42373885,1.114723672,17.19310636,17.1932068,19.16556265,-1.972355851
26922.00001,16.31527763,1.050443657,17.1941857,17.1382799,18.06152331,-0.92324341
26923.00001,15.42411899,1.114856728,17.19549168,17.19568283,19.17050959,-1.974826762
26924.00001,14.53082771,1.179414795,17.19674923,17.13787319,20.28210047,-3.144227284
26925.00001,15.42447395,1.114979376,17.197721,17.19797035,19.17510423,-1.977133883
26926.00001,16.31592215,1.05066157,17.19889218,17.14251239,18.07021506,-0.927702673
26927.00001,15.42480509,1.115091793,17.20001582,17.20007357,19.17959648,-1.979522907
26928.00001,14.53155611,1.179667407,17.20088216,17.14240312,20.29132006,-3.148916942
26929.00001,15.4251122,1.115194268,17.20192224,17.2019967,19.18348508,-1.981488377
26930.00001,16.3164732,1.050840375,17.20271882,17.14600881,18.07731149,-0.931302681
26931.00001,15.42539661,1.115286958,17.20367056,17.20374366,19.1870294,-1.983285743
26932.00001,14.53218868,1.17987932,17.20439702,17.14622889,20.29911225,-3.152883357
26933.00001,15.42565803,1.115370145,17.20526166,17.20531843,19.19023519,-1.984916766
26934.00001,16.31693493,1.050981762,17.20591762,17.14880103,18.08310562,-0.934304589
26935.00001,15.42589778,1.115443974,17.20654244,17.20672472,19.19293407,-1.986209348
26936.00001,14.53272976,1.180052321,17.20727895,17.14938148,20.30548946,-3.156107979
26937.00001,15.42611557,1.115508699,17.20783273,17.2079661,19.19548709,-1.987520988
26938.00001,16.31731134,1.05108732,17.2084808,17.15091905,18.08761597,-0.936696926
26939.00001,15.42631264,1.115564464,17.20896319,17.20904619,19.19770779,-1.988661604
26940.00001,14.53318351,1.180188095,17.20941396,17.15189015,20.31034548,-3.158455326
26941.00001,15.42644409,1.115602803,17.20976007,17.20978427,19.19925658,-1.98947231
26942.00001,16.31754344,1.051151607,17.20996819,17.15221201,18.09028572,-0.938073712
26943.00001,15.42652779,1.115630937,17.21017449,17.21031166,19.20020309,-1.98989143
26944.00001,14.53336575,1.180250795,17.21037895,17.15301647,20.31256343,-3.159546957
26945.00001,15.42660935,1.115658344,17.21078185,17.21082544,19.20135238,-1.990526943
26946.00001,16.31769062,1.051199636,17.21098055,17.15315044,18.09217649,-0.939026048
26947.00001,15.42668952,1.11568497,17.21117741,17.21132563,19.20225196,-1.990926328
26948.00001,14.53354224,1.180311015,17.21137219,17.1541,20.31477218,-3.160672185
26949.00001,15.42676753,1.11571088,17.21175623,17.21181237,19.20334369,-1.991531315
26950.00001,16.31783087,1.051244745,17.21194548,17.15403395,18.09396723,-0.939933279
26951.00001,15.42684418,1.115736019,17.21213289,17.21228571,19.20419663,-1.991910914
26952.00001,14.5337116,1.180368169,17.21231821,17.15513055,20.31687254,-3.161741983
26953.00001,15.42691871,1.115760448,17.21268331,17.21274573,19.20523123,-1.992485508
26954.00001,16.31796431,1.051286983,17.21286308,17.15486347,18.0956589,-0.940795428
26955.00001,15.42699191,1.115784119,17.213041,17.21319259,19.20603779,-1.992845206
26956.00001,14.53387385,1.180422299,17.21339082,17.15610878,20.31907036,-3.162961581
26957.00001,15.42706299,1.115807089,17.21356294,17.21362626,19.20701557,-1.993389311
