Time,Vsa,Isa,Pmax,Psa,Psaold,dp
140,15.5272033,1.176606908,18.3269432,18.26941466,21.56360797,-3.294193313
141,16.43082441,1.115699092,18.33090022,18.33185588,20.45176873,-2.119912856
142,17.33138345,1.054655446,18.33484389,18.27863793,19.33694296,-1.058305026
143,16.43175239,1.116028894,18.33681426,18.33831045,20.46441454,-2.126104091
144,15.52924224,1.177325281,18.34074165,18.28296948,21.59301881,-3.310049339
145,16.43267028,1.11635573,18.34465344,18.34470562,20.47915897,-2.134453358
146,17.33306318,1.055256952,18.34660588,18.29083542,19.3603834,-1.069547983
147,16.43357997,1.11667951,18.35049751,18.35104202,20.49162456,-2.140582542
148,15.53123927,1.178030193,18.35243987,18.29626879,21.61972827,-3.323459483
149,16.43447981,1.117000387,18.35631138,18.35732031,20.50400692,-2.146686615
150,17.33471106,1.055847729,18.36016743,18.30281531,19.38554109,-1.082725782
151,16.4353717,1.117318284,18.36209201,18.36354131,20.51630113,-2.152759825
152,15.53319562,1.178721984,18.36592804,18.30931916,21.64832314,-3.339003979
153,16.43625398,1.117633353,18.36783952,18.36970565,20.52851007,-2.158804423
154,17.3363279,1.056428019,18.37165559,18.31458254,19.40833172,-1.093749175
155,16.43712855,1.117945494,18.37545634,18.37581381,20.54275862,-2.166944811
156,15.53511243,1.179400973,18.37735326,18.32212672,21.67426832,-3.352141599
157,16.43799374,1.118254882,18.38113412,18.38186676,20.55479298,-2.172926223
158,17.33791448,1.056998052,18.38301809,18.32614183,19.43081431,-1.104672478
159,16.43885145,1.118561414,18.38677913,18.38786492,20.56674167,-2.178876746
160,15.53699082,1.180067468,18.39052499,18.33469741,21.70206026,-3.367362848
161,16.43969999,1.118865249,18.39239447,18.39380903,20.57861102,-2.184801995
162,17.33947155,1.057558059,18.39612058,18.33749787,19.45496558,-1.117467706
163,16.44054128,1.119166292,18.39797724,18.39969962,20.59039597,-2.190696355
164,15.53883185,1.180721769,18.40168367,18.34703703,21.7272685,-3.380231474
165,16.4413736,1.119464706,18.40537506,18.40553746,20.60416777,-2.198630308
166,17.34099982,1.05810825,18.4072173,18.34865497,19.47682848,-1.128173511
167,16.44219889,1.119760391,18.41088907,18.41132306,20.61578435,-2.204461291
168,15.54063655,1.181364166,18.41272151,18.35915113,21.75212938,-3.392978257
169,16.44301542,1.120053497,18.41637372,18.41705692,20.62732379,-2.210266868
170,17.34249999,1.058648841,18.41819352,18.35961753,19.49839923,-1.138781708
171,16.44382511,1.120343939,18.42182623,18.42273979,20.63878135,-2.216041557
172,15.54240589,1.181994934,18.42544406,18.37104503,21.77878154,-3.407736509
173,16.44462625,1.120631865,18.42724953,18.42837218,20.650163,-2.221790825
174,17.34397275,1.059180043,18.43084794,18.3703898,19.52158632,-1.151196514
175,16.44542074,1.12091718,18.43264369,18.43395464,20.66146698,-2.227512342
176,15.54414084,1.18261435,18.43622271,18.38272401,21.80294153,-3.420217523
177,16.44620687,1.121200036,18.43800877,18.43948773,20.6726961,-2.233208367
178,17.34541873,1.05970204,18.44156845,18.38097561,19.5425677,-1.161592097
179,16.44698654,1.121480341,18.44334209,18.44497208,20.68384558,-2.238873502
180,15.5458423,1.183222665,18.44688248,18.39419295,21.82676944,-3.432576494
181,16.44739255,1.121621864,18.44688248,18.44775508,20.69042671,-2.242671623
182,17.34615981,1.059961665,18.44688248,18.38626444,19.55298827,-1.16672383
183,16.44742474,1.121626791,18.44792601,18.44787224,20.69168806,-2.243815821
184,15.54592767,1.183238277,18.44792601,18.39453667,21.82829219,-3.433755521
185,16.4474559,1.12163174,18.44792601,18.44798858,20.69177936,-2.243790773
186,17.34620576,1.059966234,18.44810239,18.38639239,19.55436562,-1.167973224
187,16.44748786,1.121636583,18.44810239,18.44810408,20.69206652,-2.243962449
188,15.54601002,1.183253856,18.44810239,18.3948763,21.82878829,-3.433911988
189,16.44751878,1.121641457,18.44827723,18.44821893,20.69235256,-2.244133623
190,17.34625129,1.059970657,18.44827723,18.38651738,19.55463254,-1.168115161
191,16.44755051,1.121646228,18.44827723,18.44833299,20.69244058,-2.244107584
192,15.54609185,1.183269264,18.44845053,18.39521266,21.82948448,-3.434271823
193,16.4475812,1.121651021,18.44845053,18.44844624,20.69272337,-2.244277127
194,17.34629641,1.059974949,18.44845053,18.38663964,19.5548954,-1.168255761
195,16.44761269,1.121655714,18.44862228,18.44855876,20.6930026,-2.244443842
196,15.54617315,1.183284501,18.44862228,18.39554574,21.82996882,-3.434423081
197,16.44764315,1.121660429,18.44862228,18.44867046,20.69308958,-2.244419111
198,17.34634111,1.059979095,18.44879249,18.38675894,19.55533436,-1.168575421
199,16.44767441,1.12166504,18.44879249,18.44878138,20.69336557,-2.244584191
200,15.54625392,1.183299567,18.44879249,18.39587553,21.83044816,-3.434572635
201,16.44770464,1.121669683,18.44896115,18.44889165,20.69364041,-2.244748759
202,17.34638539,1.059983095,18.44896115,18.38687528,19.55558694,-1.168711664
203,16.44773567,1.12167422,18.44896115,18.44900108,20.69372411,-2.244723034
204,15.54633417,1.183314458,18.44912826,18.39620199,21.83112021,-3.434918218
205,16.44776566,1.121678782,18.44912826,18.44910975,20.69399571,-2.244885962
206,17.34642927,1.059986964,18.44912826,18.3869889,19.55583545,-1.168846558
207,16.44779646,1.121683241,18.44929382,18.44921763,20.69426368,-2.245046047
208,15.5464139,1.183329184,18.44929382,18.39652527,21.8315878,-3.435062533
209,16.44782623,1.121687728,18.44929382,18.44932482,20.69434646,-2.24502164
210,17.34647273,1.059990691,18.44945783,18.38709961,19.55625355,-1.169153937
211,16.44785679,1.121692105,18.44945783,18.4494311,20.69461118,-2.24518008
212,15.54649311,1.183343736,18.44945783,18.39684523,21.83205036,-3.435205123
213,16.44788633,1.121696521,18.44962029,18.44953687,20.69487488,-2.245338014
214,17.34651579,1.059994279,18.44962029,18.38720749,19.55649196,-1.16928446
215,16.44791667,1.121700823,18.44962029,18.44964166,20.69495426,-2.245312596
216,15.5465718,1.183358119,18.44978119,18.39716196,21.83269836,-3.435536405
217,16.44794598,1.121705157,18.44978119,18.44974583,20.69521471,-2.245468881
218,17.34655843,1.059997729,18.44978119,18.38731254,19.55672616,-1.169413616
219,16.44797609,1.121709385,18.44994053,18.44984914,20.69547145,-2.245622309
220,15.54664997,1.183372333,18.44994053,18.39747546,21.83314918,-3.435673727
221,16.44800517,1.121713645,18.44994053,18.44995182,20.69555004,-2.245598217
222,17.34660067,1.060001043,18.45009832,18.38741481,19.55712347,-1.16970866
223,16.44803505,1.121717798,18.45009832,18.45005365,20.69580366,-2.245750006
224,15.54672763,1.183386383,18.45009832,18.39778578,21.83359511,-3.435809337
225,16.4480639,1.121721979,18.45025455,18.4501548,20.69605605,-2.245901258
226,17.34664251,1.060004212,18.45025455,18.38751413,19.55734754,-1.169833417
227,16.44809356,1.121726058,18.45025455,18.45025514,20.6961313,-2.245876159
228,15.54680478,1.183400261,18.45040922,18.39809284,21.83421909,-3.436126251
229,16.44812218,1.121730161,18.45040922,18.45035475,20.69638051,-2.24602576
230,17.34668393,1.06000725,18.45040922,18.38761073,19.55756754,-1.169956804
231,16.44815161,1.121734162,18.45056232,18.45045356,20.69662606,-2.246172503
232,15.54688142,1.183413971,18.45056232,18.39839668,21.83465323,-3.436256554
233,16.44818001,1.12173819,18.45056232,18.45055168,20.69670039,-2.246148713
234,17.34672496,1.060010142,18.45071387,18.38770439,19.55794383,-1.17023944
235,16.44820921,1.12174212,18.45071387,18.45064907,20.69694288,-2.246293815
236,15.54695754,1.183427518,18.45071387,18.39869738,21.83508251,-3.436385138
237,16.44823739,1.12174607,18.45086385,18.45074565,20.69718401,-2.246438359
238,17.34676558,1.060012909,18.45086385,18.38779545,19.55815387,-1.170358414
239,16.44826637,1.121749925,18.45086385,18.45084156,20.69725513,-2.246413572
240,15.54703316,1.183440894,18.45101226,18.39899482,21.83568244,-3.436687614
241,16.44828061,1.121747804,18.45101226,18.45082266,20.69738248,-2.246559827
242,17.34677859,1.060003754,18.45101226,18.38765043,19.55814226,-1.170491834
243,16.44828154,1.121739576,18.4508684,18.45068836,20.69706929,-2.246380939
244,15.54705189,1.183429605,18.4508684,18.39884148,21.8353039,-3.436462421
245,16.44828145,1.12173138,18.45070679,18.45055345,20.69673678,-2.246183335
246,17.3467635,1.059982715,18.45070679,18.38726947,19.55743027,-1.170160801
247,16.44828219,1.121723095,18.45070679,18.450418,20.69658392,-2.246165921
248,15.54707003,1.183418172,18.45054405,18.39868519,21.83470911,-3.436023918
249,16.44828191,1.121714838,18.45054405,18.45028189,20.69624903,-2.245967145
250,17.34674808,1.059961559,18.45038024,18.38688613,19.55669379,-1.169807666
251,16.44828246,1.121706486,18.45038024,18.45014511,20.69591118,-2.245766065
252,15.54708773,1.183406603,18.45038024,18.39852627,21.8343018,-3.435775525
253,16.44828199,1.121698169,18.4502153,18.4500078,20.69557271,-2.245564919
254,17.34673231,1.059940285,18.4502153,18.38650039,19.55612646,-1.169626068
255,16.44828235,1.121689753,18.45004929,18.44986976,20.69523122,-2.24536146
256,15.547105,1.183394895,18.45004929,18.39836469,21.83369414,-3.435329443
257,16.44828167,1.121681375,18.44988214,18.44973121,20.69488917,-2.245157963
258,17.34671617,1.059918901,18.44988214,18.38611234,19.5553788,-1.169266468
259,16.4482818,1.121672902,18.44988214,18.44959198,20.69473284,-2.245140863
260,15.54712177,1.18338305,18.44971392,18.39820038,21.83307874,-3.434878357
261,16.44828092,1.121664457,18.44971392,18.44945209,20.69438836,-2.244936269
262,17.34669964,1.059897411,18.44954457,18.38572203,19.55462452,-1.168902485
263,16.44828085,1.121655924,18.44954457,18.44931165,20.69404096,-2.244729303
264,15.54713811,1.18337107,18.44954457,18.39803347,21.83265731,-3.434623835
265,16.44827978,1.121647426,18.44937414,18.44917067,20.69369301,-2.244522337
266,17.34668278,1.059875803,18.44937414,18.38532934,19.55404524,-1.168715893
267,16.44827953,1.121638824,18.44920264,18.44902892,20.69334196,-2.244313045
268,15.54715403,1.18335895,18.44920264,18.39786388,21.83202907,-3.434165194
269,16.44827827,1.121630259,18.44920264,18.44888662,20.69318394,-2.244297316
270,17.34666559,1.059854085,18.44903,18.38493439,19.55327981,-1.168345424
271,16.44827784,1.121621601,18.44903,18.44874372,20.69283056,-2.244086841
272,15.54716953,1.183346697,18.44885628,18.39769172,21.83139314,-3.433701424
273,16.44827639,1.121612968,18.44885628,18.4486001,20.69247644,-2.243876341
274,17.34664806,1.059832254,18.44885628,18.38453711,19.55269293,-1.168155819
275,16.44827577,1.121604249,18.44868141,18.448456,20.69211947,-2.243663467
276,15.54718461,1.183334302,18.44868141,18.39751685,21.83095753,-3.433440686
277,16.44827414,1.121595556,18.44850547,18.44831118,20.69176175,-2.243450565
278,17.3466302,1.059810312,18.44850547,18.38413757,19.55191634,-1.167778768
279,16.44827333,1.121586774,18.44850547,18.44816582,20.69159973,-2.243433906
280,15.54719928,1.183321773,18.44832837,18.39733941,21.83030864,-3.432969226
281,16.44827152,1.121578027,18.44832837,18.44801992,20.69123974,-2.24321982
282,17.34661201,1.059788257,18.4481502,18.38373571,19.55113295,-1.167397234
283,16.44827053,1.121569177,18.4481502,18.44787324,20.69087664,-2.2430034
284,15.54721352,1.183309106,18.4481502,18.39715933,21.82986412,-3.432704786
285,16.44826853,1.121560366,18.44797087,18.44772608,20.69051297,-2.242786894
286,17.3465935,1.059766088,18.44797087,18.38333153,19.55053393,-1.167202394
287,16.44826735,1.121551456,18.44779046,18.4475782,20.69014626,-2.24256806
288,15.54722735,1.183296305,18.44779046,18.39697668,21.8292023,-3.432225614
289,16.44826517,1.121542581,18.44779046,18.44742978,20.68998254,-2.242552763
290,17.34657465,1.059743809,18.4476089,18.38292509,19.54973932,-1.16681423
291,16.4482638,1.121533614,18.4476089,18.44728075,20.68961348,-2.242332729
292,15.54724076,1.183283365,18.44742625,18.39679136,21.8285326,-3.431741235
293,16.44826144,1.121524683,18.44742625,18.44713119,20.68924387,-2.242112678
294,16.44826068,1.121520171,18.44724424,18.44705613,20.68895651,-2.241900375
295,16.44825967,1.12151567,18.44724424,18.44698096,20.68887347,-2.241892512
296,16.44825864,1.121511154,18.44724424,18.44690553,20.68879017,-2.241884646
297,16.44825758,1.121506639,18.44706304,18.44683007,20.68850366,-2.241673593
298,16.42527587,1.123080324,18.44706304,18.44690415,20.71753353,-2.270629384
299,16.4247307,1.123113194,18.44688068,18.44683175,20.71793507,-2.271103323
300,16.42472957,1.123108689,18.44688068,18.44675649,20.71785197,-2.271095486
301,16.42472649,1.123104109,18.44688068,18.44667781,20.7177675,-2.271089682
302,16.42472345,1.12309953,18.44667088,18.44659919,20.71744739,-2.2708482
303,16.4247204,1.123094947,18.44667088,18.44652049,20.71736285,-2.27084236
304,16.42471734,1.12309036,18.44667088,18.44644171,20.71727824,-2.270836528
305,16.42471426,1.123085763,18.44644113,18.44636275,20.71693541,-2.270572668
306,16.42471116,1.123081169,18.44644113,18.44628382,20.71685068,-2.270566855
307,16.42470806,1.123076565,18.44644113,18.44620471,20.71676574,-2.270561036
308,16.42470494,1.123071957,18.44621031,18.44612552,20.71642151,-2.270295995
